Date,Campaign Type,Purchases,Revenue,Cost,CPA,Add to cart,Cost per ATC,AOV
1 Mar 2026,Brand,2,3080.559999,200.421836,100.210918,2.5163010000000003,79.64938852704823,1540.2799995
1 Mar 2026,Performance Max,0,0,42.804635,null,1,42.804635,null
1 Mar 2026,Other,0,0,0,null,0,null,null
28 Feb 2026,Generic,0.988856,1108.774567,816.063649,825.2603503442363,10.013469,81.49659713332113,1121.2699998786477
28 Feb 2026,Brand,3.011144,8238.145432,203.366661,67.53800582104343,15.671453,12.97688612536438,2735.885574386346
28 Feb 2026,Performance Max,0,0,48.675308,null,0.999999,48.675356675356674,null
27 Feb 2026,Generic,0.209793,851.925316,828.011331,3946.801518639802,9.953716000000002,83.18615188538631,4060.7899977596962
27 Feb 2026,Brand,0.21019700000000002,881.26778,175.524227,835.0462994238737,18.069633,9.713768232038802,4192.580198575622
27 Feb 2026,Performance Max,0.406828,520.247578,52.129074,128.13541349169674,4.090818,12.74294627627042,1278.789999705035
27 Feb 2026,Other,0,0,0,null,0,null,null
26 Feb 2026,Generic,1.651395,2669.224801,931.4510210000001,564.0389010503242,9.339487,99.73256785945524,1616.3454539949557
26 Feb 2026,Brand,1.629373,2566.844408,176.157648,108.11376400615451,12.074013999999998,14.589816443810651,1575.357151493243
26 Feb 2026,Performance Max,0,0,55.487202,null,1.000113,55.48093265461003,null
26 Feb 2026,Other,0,0,0,null,0,null,null
25 Feb 2026,Generic,0.411221,1478.906979,1053.658491,2562.268198851712,14.772314999999999,71.32656533522335,3596.3799976168534
25 Feb 2026,Brand,0.209793,271.711305,206.098797,982.3911998970412,7.451214,27.659760812130745,1295.1399951380645
25 Feb 2026,Performance Max,0,0,72.344862,null,4,18.0862155,null
24 Feb 2026,Generic,0,0,1187.353355,null,10.911883999999999,108.81286448792895,null
24 Feb 2026,Performance Max,0,0,189.627843,null,0.452141,419.39979563897106,null
24 Feb 2026,Brand,0,0,183.877363,null,3.002902,61.23322139716847,null
23 Feb 2026,Generic,0,0,1108.080197,null,8.672252,127.77306252170716,null
23 Feb 2026,Performance Max,0,0,114.444242,null,6.995228,16.360330499592006,null
23 Feb 2026,Brand,3,6579.589999,210.39317600000004,70.13105866666668,11.675158000000001,18.020584903433427,2193.1966663333333
23 Feb 2026,Other,0,0,0,null,0,null,null
22 Feb 2026,Generic,0,0,1265.09764,null,8.413194,150.3706725412489,null
22 Feb 2026,Brand,1.218839,2510.381073,272.80523700000003,223.82384958144598,12.075752000000001,22.59115929177744,2059.6494475480354
22 Feb 2026,Performance Max,0,0,86.096756,null,4.5,19.132612444444444,null
21 Feb 2026,Generic,0.000042,0.047152,1239.143664,29503420.57142857,11.476007000000001,107.97690032778821,1122.6666666666667
